2019-03-18 16:47:19,109 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MavenAutomationProject:MavenAutomationProject:0.0.1 @ D:\TestAutomationWorkspace\CapitaPCSE_Automation\Automation_Project\pom.xml.
2019-03-18 16:47:28,987 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MavenAutomationProject/src/main/java
2019-03-18 16:47:28,988 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MavenAutomationProject/src/main/resources
2019-03-18 16:47:28,989 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MavenAutomationProject/src/test/java
2019-03-18 16:47:28,989 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MavenAutomationProject/src/test/resources
2019-03-18 16:47:29,362 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 20 sec
2019-03-18 16:47:36,368 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-18 16:47:36,406 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-18 16:47:36,409 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-18 16:47:36,411 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-18 16:47:52,050 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-18 16:47:52,053 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-18 16:47:52,055 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-18 16:47:52,056 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-18 16:47:58,474 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\TestAutomationWorkspace\CapitaPCSE_Automation\Automation_Project
2019-03-18 16:47:58,477 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2019-03-18 16:48:06,154 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-18 16:48:06,161 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
